"","WorkerID","Trial","TimeStamp","Condition","ConditionID","Question","Response","RT"
"13719",468,9,1497473150043," 2"," Constant1","a","a"," 4547"
"13727",534,8,1497473248598," 3"," Constant2","b","c"," 35474"
"13728",534,9,1497473252828," 3"," Constant2","c","c"," 3257"
"13729",534,10,1497473255078," 3"," Constant2","a","a"," 1649"
"13730",534,11,1497473259388," 3"," Constant2","d","d"," 3773"
"13738",627,8,1497473398055," 1"," Successor2","b","d"," 6516"
"13739",627,9,1497473405577," 1"," Successor2","a","b"," 4312"
"13740",627,10,1497473413268," 1"," Successor2","c","d"," 6325"
"13748",435,8,1497473344633," 0"," Successor1","a","b"," 2514"
"13749",435,9,1497473347106," 0"," Successor1","b","a"," 2360"
"13763",477,8,1497473597797," 4"," Identity1","a","c"," 9788"
"13764",477,9,1497473604549," 4"," Identity1","b","b"," 3734"
"13772",264,8,1497473620513," 4"," Identity1","a","c"," 11092"
"13773",264,9,1497473630683," 4"," Identity1","b","c"," 8316"
"13781",501,8,1497473728660," 3"," Constant2","b","c"," 9062"
"13782",501,9,1497473746161," 3"," Constant2","c","d"," 13214"
"13783",501,10,1497473751521," 3"," Constant2","a","c"," 4240"
"13784",501,11,1497473757625," 3"," Constant2","d","e"," 4473"
"13792",637,8,1497473671121," 2"," Constant1","a","c"," 10013"
"13793",637,9,1497473678298," 2"," Constant1","b","d"," 5976"
"13801",622,8,1497473747578," 1"," Successor2","b","d"," 5687"
"13802",622,9,1497473760682," 1"," Successor2","a","b"," 2703"
"13803",622,10,1497473771294," 1"," Successor2","c","d"," 4672"
"13811",439,8,1497473709095," 0"," Successor1","a","b"," 8221"
"13812",439,9,1497473726050," 0"," Successor1","b","c"," 15729"
"13820",271,8,1497473830538," 1"," Successor2","a","d"," 8633"
"13821",271,9,1497473837277," 1"," Successor2","b","c"," 5432"
"13822",271,10,1497473843028," 1"," Successor2","c","d"," 3781"
"13830",313,8,1497473834233," 3"," Constant2","b","c"," 5909"
"13831",313,9,1497473851508," 3"," Constant2","c","b"," 15805"
"13832",313,10,1497473856406," 3"," Constant2","a","c"," 3159"
"13833",313,11,1497473864595," 3"," Constant2","d","c"," 2702"
"13841",382,8,1497473979157," 2"," Constant1","b","d"," 23772"
"13842",382,9,1497473992707," 2"," Constant1","a","c"," 8794"
"13850",630,8,1497473962100," 0"," Successor1","b","c"," 9807"
"13851",630,9,1497473983588," 0"," Successor1","a","b"," 20470"
"13859",428,8,1497473930067," 1"," Successor2","b","a"," 7605"
"13860",428,9,1497473938875," 1"," Successor2","a","b"," 7745"
"13861",428,10,1497473945362," 1"," Successor2","c","d"," 3640"
"13869",500,8,1497473951815," 4"," Identity1","a","a"," 5499"
"13870",500,9,1497473957451," 4"," Identity1","b","b"," 4214"
"13882",146,8,1497474210562," 0"," Successor1","a","b"," 9325"
"13883",146,9,1497474220869," 0"," Successor1","b","c"," 9369"
"13891",389,8,1497474126639," 2"," Constant1","b","d"," 7569"
"13892",389,9,1497474135237," 2"," Constant1","a","b"," 7230"
"13900",578,8,1497474221099," 4"," Identity1","b","c"," 5741"
"13901",578,9,1497474230750," 4"," Identity1","a","a"," 3633"
"13909",142,8,1497474208238," 3"," Constant2","b","c"," 10087"
"13910",142,9,1497474216746," 3"," Constant2","c","d"," 6859"
"13911",142,10,1497474225068," 3"," Constant2","d","e"," 3482"
"13912",142,11,1497474228571," 3"," Constant2","a","c"," 2191"
"13920",63,8,1497474317714," 0"," Successor1","a","c"," 6551"
"13921",63,9,1497474326908," 0"," Successor1","b","c"," 7825"
"13929",327,8,1497474565157," 4"," Identity1","b","c"," 17972"
"13930",327,9,1497474574751," 4"," Identity1","a","a"," 7061"
"13938",605,8,1497474589600," 1"," Successor2","b","d"," 17071"
"13939",605,9,1497474602743," 1"," Successor2","a","b"," 9359"
"13940",605,10,1497474609567," 1"," Successor2","c","d"," 4688"
"13948",21,8,1497474596195," 2"," Constant1","b","d"," 8914"
"13949",21,9,1497474603902," 2"," Constant1","a","c"," 6280"
"13957",493,8,1497474668945," 3"," Constant2","c","d"," 18227"
"13958",493,9,1497474681024," 3"," Constant2","b","c"," 10775"
"13959",493,10,1497474692159," 3"," Constant2","a","c"," 7668"
"13960",493,11,1497474699154," 3"," Constant2","d","e"," 5893"
"13968",579,8,1497474589216," 4"," Identity1","a","b"," 5880"
"13969",579,9,1497474593339," 4"," Identity1","b","a"," 3188"
"13977",277,8,1497474863668," 2"," Constant1","a","c"," 19855"
"13978",277,9,1497474882650," 2"," Constant1","b","a"," 15014"
"13986",614,8,1497474838041," 3"," Constant2","b","c"," 8934"
"13987",614,9,1497474851053," 3"," Constant2","d","e"," 11344"
"13988",614,10,1497474862256," 3"," Constant2","c","b"," 8944"
"13989",614,11,1497474869644," 3"," Constant2","a","c"," 5981"
"13997",296,8,1497474858838," 0"," Successor1","b","c"," 8047"
"13998",296,9,1497474865758," 0"," Successor1","a","b"," 5592"
"14006",246,8,1497474917913," 1"," Successor2","b","c"," 8207"
"14007",246,9,1497474923325," 1"," Successor2","a","b"," 3503"
"14008",246,10,1497474929559," 1"," Successor2","c","d"," 4617"
"14016",247,8,1497475105530," 2"," Constant1","b","d"," 4551"
"14017",247,9,1497475113078," 2"," Constant1","a","c"," 6658"
"14025",559,8,1497475399714," 2"," Constant1","b","d"," 7757"
"14026",559,9,1497475406585," 2"," Constant1","a","c"," 5603"
"14034",610,8,1497475612372," 3"," Constant2","c","e"," 8440"
"14035",610,9,1497475620526," 3"," Constant2","a","c"," 5361"
"14036",610,10,1497475625244," 3"," Constant2","d","e"," 3472"
"14037",610,11,1497475628564," 3"," Constant2","b","c"," 2658"
"14045",463,8,1497476141633," 4"," Identity1","a","a"," 2681"
"14046",463,9,1497476145258," 4"," Identity1","b","b"," 2208"
"14054",574,8,1497476178858," 4"," Identity1","a","a"," 4962"
"14055",574,9,1497476185271," 4"," Identity1","b","c"," 3747"
"14063",408,8,1497476959028," 2"," Constant1","a","c"," 6535"
"14064",408,9,1497476964436," 2"," Constant1","b","d"," 3237"
"14072",192,8,1497477370183," 0"," Successor1","b","a"," 6687"
"14073",192,9,1497477377198," 0"," Successor1","a","b"," 4287"
"14081",84,8,1497477904260," 1"," Successor2","a","d"," 12878"
"14082",84,9,1497477907524," 1"," Successor2","c","d"," 2479"
"14083",84,10,1497477911523," 1"," Successor2","b","c"," 2655"
"14091",14,8,1497478349429," 3"," Constant2","a","c"," 4368"
"14092",14,9,1497478352181," 3"," Constant2","b","c"," 1983"
"14093",14,10,1497478357356," 3"," Constant2","c","c"," 4663"
"14094",14,11,1497478361868," 3"," Constant2","d","e"," 3520"
"14102",347,8,1497478688218," 4"," Identity1","b","b"," 3672"
"14103",347,9,1497478693104," 4"," Identity1","a","a"," 3242"
"14111",81,8,1497479016428," 1"," Successor2","b","c"," 6089"
"14112",81,9,1497479024951," 1"," Successor2","c","d"," 6522"
"14113",81,10,1497479029453," 1"," Successor2","a","b"," 2726"
"14121",603,8,1497479265126," 4"," Identity1","b","c"," 23004"
"14122",603,9,1497479273855," 4"," Identity1","a","c"," 6463"
"14130",220,8,1497479494329," 2"," Constant1","a","c"," 8286"
"14131",220,9,1497479500671," 2"," Constant1","b","b"," 3734"
"14139",300,8,1497479798471," 0"," Successor1","b","a"," 13383"
"14140",300,9,1497479813880," 0"," Successor1","a","c"," 11630"
"14147",144,8,1497479902462," 3"," Constant2","c","e"," 8279"
"14148",144,9,1497479911724," 3"," Constant2","b","c"," 8090"
"14149",144,10,1497479914827," 3"," Constant2","a","c"," 2415"
"14150",144,11,1497479921590," 3"," Constant2","d","e"," 6129"
"14158",351,8,1497480043376," 1"," Successor2","b","c"," 9296"
"14159",351,9,1497480053192," 1"," Successor2","c","d"," 8487"
"14160",351,10,1497480057232," 1"," Successor2","a","b"," 2375"
"14168",241,8,1497480247154," 2"," Constant1","b","d"," 25829"
"14169",241,9,1497480255401," 2"," Constant1","a","c"," 4480"
"14177",18,8,1497480305347," 4"," Identity1","b","c"," 21202"
"14178",18,9,1497480320579," 4"," Identity1","a","b"," 9449"
"14186",594,8,1497480349351," 0"," Successor1","b","a"," 4927"
"14187",594,9,1497480360315," 0"," Successor1","a","b"," 7585"
"14195",370,8,1497480555483," 1"," Successor2","a","b"," 9737"
"14196",370,9,1497480558419," 1"," Successor2","b","c"," 2269"
"14197",370,10,1497480561161," 1"," Successor2","c","d"," 2252"
"14205",650,8,1497480747405," 3"," Constant2","c","d"," 20268"
"14206",650,9,1497480751417," 3"," Constant2","a","c"," 2978"
"14207",650,10,1497480757483," 3"," Constant2","b","c"," 1846"
"14208",650,11,1497480761339," 3"," Constant2","d","e"," 3048"
"14215",31,8,1497480835400," 4"," Identity1","a","a"," 6040"
"14216",31,9,1497480845116," 4"," Identity1","b","b"," 5775"
"14236",190,8,1497481135841," 3"," Constant2","d","c"," 7682"
"14237",190,9,1497481142490," 3"," Constant2","c","e"," 4843"
"14238",190,10,1497481147388," 3"," Constant2","a","c"," 3041"
"14239",190,11,1497481151374," 3"," Constant2","b","c"," 1605"
"14247",181,8,1497481587418," 1"," Successor2","b","c"," 5647"
"14248",181,9,1497481597304," 1"," Successor2","c","d"," 5857"
"14249",181,10,1497481604439," 1"," Successor2","a","b"," 2750"
"14257",358,8,1497481436061," 0"," Successor1","a","b"," 6896"
"14258",358,9,1497481445752," 0"," Successor1","b","c"," 7566"
"14272",621,8,1497482348639," 1"," Successor2","b","b"," 44256"
"14273",621,9,1497482357887," 1"," Successor2","c","b"," 5224"
"14274",621,10,1497482364175," 1"," Successor2","a","b"," 3464"
"14282",129,8,1497482518823," 0"," Successor1","b","c"," 6070"
"14283",129,9,1497482522831," 0"," Successor1","a","c"," 3262"
"14291",580,8,1497482426595," 4"," Identity1","b","b"," 2003"
"14292",580,9,1497482430887," 4"," Identity1","a","a"," 2880"
"14300",275,8,1497482561179," 3"," Constant2","d","c"," 8746"
"14301",275,9,1497482565497," 3"," Constant2","b","c"," 2838"
"14302",275,10,1497482573961," 3"," Constant2","c","e"," 6445"
"14303",275,11,1497482577311," 3"," Constant2","a","c"," 2635"
"14311",453,8,1497482557697," 3"," Constant2","c","d"," 9143"
"14312",453,9,1497482569917," 3"," Constant2","d","a"," 6315"
"14313",453,10,1497482575454," 3"," Constant2","b","c"," 3539"
"14314",453,11,1497482581930," 3"," Constant2","a","c"," 3007"
"14322",443,8,1497482563022," 4"," Identity1","a","b"," 4549"
"14323",443,9,1497482575550," 4"," Identity1","b","c"," 11562"
"14331",239,8,1497482845426," 2"," Constant1","a","c"," 10343"
"14332",239,9,1497482862537," 2"," Constant1","b","a"," 15869"
